SS1	SS2	cont_gio	fraction_gio
TM4	HN	22	0.21333333333333332
ICL2	hns1	48	0.3335260115606936
TM4	hns1	7	0.03818181818181818
ICL2	S1	13	0.06666666666666667
ICL2	s2s3	33	0.2917647058823529
ICL2	S3	41	0.3902941176470588
ICL3	h4s6	19	0.19782608695652174
TM6	h4s6	29	0.11168831168831168
ICL2	H5	47	0.4634574468085106
TM5	H5	44	0.3281095890410959
TM3	H5	50	0.7523861566484518
TM6	H5	48	0.5413894736842105
H8	H5	45	0.44244897959183677
TM2	H5	48	0.6011224489795919
TM7	H5	39	0.3226666666666667
ICL2	HN	21	0.10275862068965519
ICL3	s2s3	1	0.02
ICL3	H5	20	0.19908045977011496
ICL3	H4	4	0.053636363636363635
ICL3	S6	13	0.16705882352941176
TM5	S6	10	0.07866666666666668
ICL1	H5	5	0.048
TM5	h4s6	5	0.036
ICL1	HN	1	0.02
ICL2	h2s4	6	0.055
ECL2	H5	1	0.02
TM6	H4	1	0.02
ICL1	hns1	1	0.02
TM2	hns1	1	0.02
TM4	H5	3	0.04666666666666666
Cterm	H3	1	0.02
TM6	S6	2	0.04
TM3	S3	1	0.02
TM3	hns1	1	0.02
ICL3	S5	1	0.02
