SS1	SS2	cont_gio	fraction_gio
TM4	HN	22	0.248062015503876
ICL2	hns1	42	0.4231903046184081
TM4	hns1	7	0.04439746300211416
ICL2	S1	10	0.08245243128964058
ICL2	s2s3	32	0.34053156146179403
ICL2	S3	37	0.4724990771502399
ICL3	h4s6	16	0.21052631578947367
TM6	h4s6	27	0.13023255813953488
ICL2	H5	41	0.5989647882189983
TM5	H5	40	0.3674281402208959
TM3	H5	43	0.8103432108027007
TM6	H5	43	0.6255759744131837
H8	H5	41	0.5174624044703756
TM2	H5	41	0.6976744186046512
TM7	H5	35	0.3660368217054264
ICL2	HN	17	0.09883720930232559
TM5	h4s6	4	0.046511627906976744
TM5	S6	8	0.07692307692307693
ICL3	S6	11	0.15273412947831552
ICL3	H5	17	0.21878824969400243
ICL1	HN	1	0.023255813953488372
ICL2	h2s4	4	0.06976744186046512
ECL2	H5	1	0.023255813953488375
TM6	H4	1	0.023255813953488372
ICL3	H4	3	0.04215116279069767
ICL1	H5	1	0.023255813953488372
ICL1	hns1	1	0.023255813953488372
TM2	hns1	1	0.023255813953488372
Cterm	H3	1	0.023255813953488372
TM6	S6	2	0.046511627906976744
ICL3	S5	1	0.023255813953488372
